meshsize,h,Time,iter,L2 error uh,H1 error uh,L2 div uh,abs L2 error ph
4,1.7677669529663689,12.318696022033691,10,0.46472839360712054,3.548876669914745,2.2025399213889585e-08,7.204699733971741
8,0.9501799809370173,20.569066762924194,10,0.0214181286080653,0.33812894976983576,1.3200910776397167e-08,0.911799672274371
16,0.4941107814854106,30.982359886169434,10,0.0007689177271279336,0.024995770670723803,2.532550820148678e-09,0.06827573735820255
32,0.23844424919354407,132.35134959220886,10,2.3568264926326806e-05,0.0015594052901451163,9.971439817787581e-11,0.0040749183381410155
64,0.11932224792836621,534.5312390327454,10,7.15584762733617e-07,9.555062389806523e-05,7.912504026171112e-12,0.00024085784438203288
