meshsize,h,Time,iter,L2 error uh,H1 error uh,L2 div uh,abs L2 error ph
4,1.7677669529663689,2.9175209999084473,10,0.46472839360712054,3.548876669914745,2.2025399213889585e-08,7.204699733971741
8,0.9501799809370173,22.139972686767578,10,0.021411183396232852,0.33798475457743904,1.3205642304340137e-08,0.9115241511432857
16,0.4941107814854106,34.18852710723877,10,0.000767448378412322,0.024947427796592078,2.532744589854581e-09,0.06812888577486587
32,0.23844424919354407,132.1485185623169,10,2.351289405464334e-05,0.0015567227044456457,9.981630148346925e-11,0.004064220453640304
64,0.11932224792836621,522.327953338623,10,7.142932536658213e-07,9.540776896755141e-05,7.890363090435935e-12,0.000240385464970175
