meshsize,h,Time,iter,L2 error uh,H1 error uh,L2 div uh,abs L2 error ph
4,1.7677669529663689,11.650802373886108,10,0.46472839360712054,3.548876669914745,2.2025399213889585e-08,7.204699733971741
8,0.9501799809370173,18.34896755218506,10,0.021410753254111844,0.3379590358328772,1.3200750918557461e-08,0.9113216433642145
16,0.4941107814854106,30.120309114456177,10,0.0007666419242252093,0.02492162755616709,2.5328320325382086e-09,0.068050690046886
32,0.23844424919354407,126.01438164710999,10,2.3487974905915705e-05,0.0015551257321458247,9.974376708091781e-11,0.004058142188721425
64,0.11932224792836621,478.6240339279175,10,7.133254963730644e-07,9.529097101661e-05,7.914043082786387e-12,0.0002399365974841536
